생기다=[名] 产生
파티=[名] 聚会(party)
광고=[名] 廣告
번역=[名] 翻譯(主要指筆譯)
출근=[名] 上班
주인=[名] 主人
포도=[名] 葡萄
킬로그램=[名] 公斤(kilogram)
사과=[名] 蘋果
얼마나=[副] 多少,多麼地
환자=[名] 患者
콧물=[名] 鼻涕
기침=[名] 咳嗽
약=[名] 药
차다=[形] 涼
쉬다=[名] 休息
목욕=[名] 洗澡
머리=[名] 頭髮
약간=[副] 稍微
숙이다=[名] (把头)低下
아래=[名] 下面
벗다=[動] 脫
기온=[名] 氣溫
최저=[副] 最低
영상=[名] 零上
바람=[名] 風
불다=[名] 吹
안개=[名] 霧
끼다=[動] 籠罩,彌漫
비=[名] 雨
내리다=[名] 下(雨)
그치다=[动] 停止
모레=[名] 后天
이상=[名] 以上
우산=[名] 雨傘
팔년전=八年前
감자튀김=[名] 炸薯條
생일=[名] 生日
약하게=[副] 輕輕地
드라이=[名] 烘乾
여행사=[名] 旅行社
명동=[地名] 明洞
호주=[名] 澳洲
점심시간=[名] 午飯時間
기대하다=[動] 期待
도=[名] 道,朝鮮半島由8個道組成,類似於中國的省
군=[名] 郡,是一個行政單位
눈물=[名] 眼淚
이틀=[名] 兩天
할머니=[名] 奶奶
춘천역=[名] 春川站,春川是一個地名
우표수집=[名] 集郵
색깔=[名] 色彩
설거지=[名] 打掃,dishwashing
위험하다=[形] 危險
나중에=[副] 最後,at last
마침내=[副] 終於
아까=[副] 剛才
생일초대메모=[名] 生日邀請備忘錄
아르바이트=[名] 兼職打工,來自德語Arbeit
킬로그램=[名] 公斤,kilogram
장갑=[名] 手套
최저기온=[名] 最低氣溫
축구=[名] 足球
경찰서=[名] 警署
엽서=[名] 明信片
노인=[名] 老人
학생회=[名] 學生會
전기요금청구서=[名] 電費通知單
금액=[名] 金額
냉장고=[名] 冰箱
드라마=[名] 電視劇,來自drama
아름다운추억=[名] 美麗的回憶
바지=[名] 褲子
한식집=[名] 韓餐館
휴대전화=[名] 手機
음식물=[名] 食物
쓸쓸하다=[形] 孤獨
이유=[名] 理由
교통사고=[名] 交通事故
관심=[名] 關心
특별히=[副] 特別地
갑자기=[副] 突然
고민=[名] 苦惱
깜짝놀라다=嚇一跳
탁자=[名] 桌子
올림픽경기장=[名] 奧運會競技場
가수=[名] 歌手
공연=[名] 演出
고기=[名] 肉
코트=[名] 外套,coat
답장=[名] 回信
음악회=[名] 音樂會
비디오=[名] 錄影帶,video
장마철=[名] 雨季
일기예보=[名] 天氣預報
열차=[名] 列車
화장품=[名] 化妝品
청소기=[名] 清潔器,吸塵器
내용=[名] 內容
여자친구=[名] 女朋友
키=[名] 身高,鑰匙(key)
손대지마세요=請勿用手觸摸
열람실=[名] 閱覽室
전통놀이=[名] 傳統(民間)遊戲
남해=[名] 南海
중심내용=[名] 中心內容
간호사=[名] 護士
요리사=[名] 廚師
운전사=[名] 司機
홍콩=[名] 香港,Hong Kong
주의사항=[名] 注意事項
작품=[名] 作品
이메일=[名] 電子郵件,E-mail
전자사전=[名] 電子詞典
이따가=[副] 以後
남산=[名] 南山
아주머니=[名] 大媽
봉투=[名] 信封
배달=[名] 配送,發送
한복=[名] 韓服
가죽장갑=[名] 皮手套
응=[名] 是,yes (非敬語)
