테니스=[名] 網球
축구경기=[名] 足球比賽
출장=[名] 出差
유익한경험=[名] 有益的經驗
발이아주넓다=[名] 比喻活動範圍廣闊
용서하다=[動] 饒恕
가입하다=[動] 加入
갈비=[名] 排骨
동해=[名] 東海
찬성=[名] 贊成
양쪽=[名] 兩邊
입장=[名] 立場
자연=[名] 自然
전국=[名] 全國
숙식료=[名] 食宿費
홈페이지=[名] 個人主頁,homepage
노점상=[名] 地攤,攤販
화장품=[名] 化妝品
피부=[名] 皮膚
녹음테이프=[名] 錄音磁帶
교환=[名] 交換
현대미술=[名] 現代美術
준비운동=[名] 準備運動
효과=[名] 效果
필요성=[名] 必要性
케이크=[名] 蛋糕,cake
배달=[名] 配送
장마=[名] 雨季
여러종류=[名] 各種品種
관리비=[名] 管理費
바둑=[名] 圍棋
극단=[名] 劇團
관객=[名] 觀眾
길거리=[名] 街道
설명회=[名] 說明會
어학원=[名] 語言學院
문화체험=[名] 文化體驗
동네=[名] 村莊,鄰居們
승강기=电梯(这个词的来源是汉语的升降机,엘리베이터是来自美语 的 elevator,还有一个较生僻的单词是리프트,英国人把 电梯叫做lift) * 엘리베이터是常用的叫法.
전기관리시스템=[名] 用電管理系統
정전=[名] 停電
교사=[名] 教師
비율=[名] 比率
중학교=[名] 初中
퍼센트=[名] 百分比,percent
한바퀴=[名] 一圈
과학=[名] 科學
개미=[名] 螞蟻
꼬마=[名] 小鬼(稱呼可愛的小孩)
요요=[名] yoyo球
무릎=[名] 膝蓋
서류=[名] 文檔
관공서=[名] 國家機關
전화국=[名] 電話局
고통=[名] 痛苦
스트레스=[名] 壓力,stress
동호회=[名] 協會 (因共同的興趣成立的組織)
직장인=[名] 上班族
출퇴근=[名] 上下班
단짝=[名] 好朋友
야간열차=[名] 夜間列車
하룻밤=[名] 一夜
종아리=[名] 小腿肚子
수업시간=[名] 上課時間
도시락=[名] 便當,飯盒
글쓴이=[名] 作者,筆者
서러움=[名] 傷感(名詞型)
그리움=[名] 懷念(名詞型)
외로움=[名] 孤獨(名詞型)
괴로움=[名] 痛苦(名詞型)
개선하다=[動] 改善
재료=[名] 資料,材料
세계화=[名] 世界化,全球化
반말=[名] 用非敬語說話
존경하다=[形] 尊敬
인생=[名] 人生
장래=[名] 將來
서운하다=[形] 遺憾,可惜
창피하다=[形] 丟臉,蒙羞
다정하다=[形] 親切的
상쾌하다=[形] 明快的
엄격하다=[形] 嚴厲的,嚴格的
솔직하다=[形] 誠實的
궁금하다=[形] 好奇
등록하다=[動] 註冊,登陸
참석하다=[動] 出席,參加
근무하다=[動] 工作
출근하다=[動] 上班,出勤
특기=[名] 特殊技能
책임=[名] 責任
알뜰하다=[形] 勤儉
초대장=[名] 請帖
피로=[名] 疲勞
무리하다=[形] 毫無道理,超過正常的界限
불리하다=[形] 不利的
영리하다=[形] 伶俐的
시험에붙다=[名] 通過考試
규칙=[名] 規則
거짓말=[名] 謊言
도전의기회=[名] 挑戰的機會
야구방망이=[名] 棒球棒
최선을다하다=盡最大努力
도로=[名] 道路
부탁하다=[動] 囑託
장애인=[名] 殘疾人
별명=[名] 外號
불우이웃=[名] 不幸的鄰居
화장지=[名] (洗手間的)手紙
짝사랑=[名] 單相思
선풍기=[名] 電風扇
야채=[名] 野菜
쓰레기장=[名] 垃圾場
능력=[名] 能力
동료=[名] 同事,同僚
건조하다=[形] 乾燥的
우승=[名] 取勝,冠軍
금연=[名] 禁煙
센터=[名] 中心,center
깨지다=[動] 粉碎,碎了
독자=[名] 讀者
연락처=[名] 聯絡處
기상청=[名] 氣象廳
태풍=[名] 颱風
절=[名] 寺廟
피아니스트=[名] 鋼琴家,pianist
피아노=[名] 鋼琴
치약사용설명서=[名] 牙膏使用說明書
응급실=[名] 急救室
구급차=[名] 急救車
이탈리아=[名] 義大利
